ADM2_PCODE;seeded;harvested;production;yield
AR006007;54400;54400;80400;1478
AR006014;95550;88550;107535;1214
AR006021;58260;57300;111720;1950
AR006042;17000;16200;42550;2627
AR006049;142310;109900;168757;1536
AR006063;76580;76580;163072;2129
AR006070;63290;62990;153607;2439
AR006077;72850;72550;184125;2538
AR006084;72860;61110;56906;931
AR006105;68000;68000;161000;2368
AR006112;112120;111325;269315;2419
AR006119;5250;4650;9180;1974
AR006126;15950;15950;43370;2719
AR006134;21750;20300;41100;2025
AR006140;30580;30330;81018;2671
AR006147;86120;82620;209347;2534
AR006154;87610;83060;184252;2218
AR006161;40500;38500;115950;3012
AR006168;5600;4500;11250;2500
AR006175;52900;52650;164907;3132
AR006189;59290;41290;44655;1082
AR006196;50650;45650;63010;1380
AR006203;137800;133800;160560;1200
AR006210;98000;94700;318490;3363
AR006218;28500;27350;73795;2698
AR006224;120920;119640;294780;2464
AR006231;93000;93000;212400;2284
AR006238;1500;1000;2500;2500
AR006266;28600;28450;80925;2844
AR006277;50000;41960;112336;2677
AR006280;41320;41320;78232;1893
AR006287;28000;28000;48000;1714
AR006294;77000;75200;242200;3221
AR006301;21120;15440;22896;1483
AR006308;4000;3700;9030;2441
AR006315;17300;17300;55000;3179
AR006322;30000;27800;33360;1200
AR006329;4600;4000;8050;2013
AR006336;800;800;2240;2800
AR006343;3150;2950;7030;2383
AR006351;87860;77880;208453;2677
AR006357;23950;23950;53210;2222
AR006364;2800;2550;5215;2045
AR006385;96590;84830;217260;2561
AR006392;263210;244130;633410;2595
AR006399;46200;46200;111340;2410
AR006406;59500;59500;123100;2069
AR006413;104000;101300;347600;3431
AR006441;500;440;1089;2475
AR006448;9770;7020;6510;927
AR006455;35510;34060;75824;2226
AR006462;80970;71730;184595;2573
AR006469;180350;163090;406013;2490
AR006476;131980;131980;209434;1587
AR006483;37620;31580;62212;1970
AR006497;14650;13690;29215;2134
AR006505;5200;4900;11990;2447
AR006511;10300;9900;29440;2974
AR006518;11600;11600;25500;2198
AR006525;8400;7400;14020;1895
AR006532;23930;23080;41900;1815
AR006547;19820;16000;29860;1866
AR006574;34600;29800;61600;2067
AR006581;134570;124570;160877;1291
AR006588;174070;173465;390176;2249
AR006595;49300;49300;96100;1949
AR006609;138790;132090;303828;2300
AR006616;19000;19000;48000;2526
AR006623;187070;186770;572010;3063
AR006630;6900;6300;15570;2471
AR006638;2200;2000;3820;1910
AR006651;2300;1700;2340;1376
AR006655;1050;990;2676;2703
AR006665;61330;61080;146692;2402
AR006672;7700;7400;16780;2268
AR006679;128670;123070;330442;2685
AR006686;117000;115300;463200;4017
AR006693;39550;34425;72470;2105
AR006700;23600;21300;29560;1388
AR006707;55850;51270;116488;2272
AR006714;108470;108220;312256;2885
AR006721;15900;15900;43350;2726
AR006728;52000;49200;109520;2226
AR006735;31810;31560;77572;2458
AR006742;98920;87920;113640;1293
AR006763;35970;35770;99952;2794
AR006770;40270;40070;97868;2442
AR006778;1950;1780;3290;1848
AR006784;24950;24260;42050;1733
AR006791;134110;134110;220096;1641
AR006798;1200;1200;2440;2033
AR006819;4230;3230;4422;1369
AR006826;142910;137310;335790;2445
AR006833;185180;172680;212374;1230
AR006847;23000;23000;58900;2561
AR006854;104500;81976;140622;1715
AR006882;29800;29750;81850;2751
AR010042;100;100;120;1200
AR010056;4000;3720;6696;1800
AR010098;35500;34250;82200;2400
AR014007;39080;39080;94614;2421
AR014014;4300;4300;10155;2362
AR014021;64790;63652;193602;3042
AR014035;371000;340000;978300;2877
AR014042;193000;149000;266000;1785
AR014049;5920;4862;17728;3646
AR014056;244570;230570;344668;1495
AR014063;501760;479760;1706633;3557
AR014077;1350;1350;3375;2500
AR014084;272000;246000;707120;2874
AR014098;696100;669100;926382;1385
AR014105;245450;222315;546024;2456
AR014112;63250;60150;221634;3685
AR014119;264000;244000;618200;2534
AR014126;2000;2000;5000;2500
AR014133;10200;10200;30190;2960
AR014140;500410;480970;1358718;2825
AR014147;113700;112700;244860;2173
AR014161;248000;229000;500200;2184
AR014168;90140;89780;337935;3764
AR014175;66050;65450;220196;3364
AR014182;466540;437640;1401353;3202
AR022007;108300;105000;294000;2800
AR022021;19280;16780;23492;1400
AR022028;47020;45760;91520;2000
AR022036;62990;61310;134882;2200
AR022039;35870;34910;69820;2000
AR022043;28390;28050;56100;2000
AR022049;39020;37980;79758;2100
AR022063;13120;12820;23076;1800
AR022070;50660;47160;84888;1800
AR022084;1090;1090;1744;1600
AR022091;18730;17630;33497;1900
AR022098;34950;34590;65721;1900
AR022105;41580;40470;80940;2000
AR022112;4990;4820;9640;2000
AR022133;1070;1010;2020;2000
AR022140;1600;1560;2808;1800
AR022147;3190;3155;5995;1900
AR022154;1860;1630;4075;2500
AR022168;630;590;944;1600
AR030008;33000;25000;17500;700
AR030015;31500;26000;33600;1292
AR030021;63900;60900;67720;1112
AR030028;14500;11500;14900;1296
AR030035;42000;37000;45100;1219
AR030042;12000;9300;9780;1052
AR030049;87500;84000;138900;1654
AR030056;198500;181000;210500;1163
AR030070;125000;118500;165750;1399
AR030077;124000;111000;110400;995
AR030084;146000;142000;185900;1309
AR030088;22000;19500;15600;800
AR030091;71000;67000;67000;1000
AR030098;122500;105000;96500;919
AR030105;84500;79500;127050;1598
AR030113;142000;108000;62000;574
AR038014;750;725;1523;2101
AR038021;110;110;231;2100
AR038035;120;120;252;2100
AR038042;130;130;273;2100
AR038056;950;920;1932;2100
AR038063;240;230;483;2100
AR038070;4940;4790;10059;2100
AR042007;19000;18500;45500;2459
AR042021;12500;12000;17300;1442
AR042028;31500;31100;87990;2829
AR042035;24200;23500;59940;2551
AR042056;99300;96300;306560;3183
AR042070;1500;1000;500;500
AR042105;71500;69400;202600;2919
AR042119;37400;36300;100860;2779
AR042126;68300;66200;161930;2446
AR042133;35600;34500;88780;2573
AR042140;13000;12400;14600;1177
AR042147;9600;9300;20390;2192
AR042154;8000;7100;14070;1982
AR054014;60;60;156;2600
AR054049;150;150;420;2800
AR054056;900;900;2520;2800
AR054070;30;30;78;2600
AR054091;40;40;104;2600
AR054105;50;50;135;2700
AR054112;200;200;540;2700
AR054119;1400;1400;3920;2800
AR066007;263910;263910;580602;2200
AR066028;1510;1510;3926;2600
AR066035;720;720;1800;2500
AR066042;220;220;506;2300
AR066049;3350;3350;8040;2400
AR066056;101240;101240;222728;2200
AR066063;30;30;75;2500
AR066084;920;920;1840;2000
AR066098;120;120;288;2400
AR066112;39680;39680;95232;2400
AR066126;20210;20210;44462;2200
AR066133;1010;1010;2020;2000
AR066140;33270;33270;79848;2400
AR066147;130;130;338;2600
AR074007;5300;5300;14640;2762
AR074021;55800;55800;138460;2481
AR074028;32000;32000;64000;2000
AR074035;197000;197000;411900;2091
AR074042;12000;12000;21600;1800
AR074049;1000;1000;1800;1800
AR074056;21150;21150;46380;2193
AR074063;1500;1500;2700;1800
AR082007;159830;159830;430854;2696
AR082014;224500;221700;678350;3060
AR082021;251000;239000;562100;2352
AR082028;210300;206300;525620;2548
AR082035;3460;3260;4890;1500
AR082042;540350;540350;1580813;2926
AR082049;72900;37900;36680;968
AR082056;209120;209120;556980;2663
AR082063;48000;44700;64050;1433
AR082070;173200;167700;273894;1633
AR082077;128500;83500;109600;1313
AR082084;107400;103200;212460;2059
AR082091;140000;110000;149800;1362
AR082098;7900;4100;4720;1151
AR082105;162610;162610;343655;2113
AR082112;135000;125000;167400;1339
AR082119;142500;139700;358780;2568
AR082126;277150;277150;787708;2842
AR082133;18000;4500;4050;900
AR086007;13740;13740;21984;1600
AR086014;69000;69000;227700;3300
AR086028;50;50;140;2800
AR086035;4000;4000;10000;2500
AR086042;104000;104000;249600;2400
